CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
711287733,Existing Customer,45,M,4,Unknown,Married,$40K - $60K,Blue,36,3,2,1,4721,1289,3432,66%,3856,74,76%,27%
719584608,Existing Customer,40,M,4,High School,Unknown,$40K - $60K,Blue,32,3,1,1,1438.3,0,1438.3,66%,4215,79,93%,0%
790221633,Existing Customer,44,F,4,Graduate,Single,$40K - $60K,Blue,38,3,3,3,3897,2296,1601,75%,4627,77,79%,59%
783573408,Existing Customer,42,F,4,College,Single,$40K - $60K,Blue,36,3,1,2,2575,2136,439,72%,5267,83,89%,83%
709641933,Existing Customer,42,F,3,Graduate,Married,$40K - $60K,Blue,36,3,1,2,3433,1869,1564,84%,4504,84,79%,54%
719898108,Existing Customer,57,F,2,Doctorate,Married,$40K - $60K,Blue,41,2,3,3,3667,809,2858,78%,5322,79,98%,22%
821356083,Existing Customer,54,F,3,Uneducated,Married,$40K - $60K,Blue,49,3,1,3,1626,0,1626,66%,4830,87,64%,0%
746453583,Existing Customer,56,F,1,Unknown,Married,$40K - $60K,Blue,49,2,2,2,2604,1395,1209,53%,4498,85,70%,54%
719075883,Existing Customer,38,F,3,High School,Married,$40K - $60K,Blue,27,2,3,3,2363,2033,330,50%,3904,66,61%,86%
806914158,Attrited Customer,38,F,4,Graduate,Married,$40K - $60K,Blue,33,4,3,1,4047,0,4047,65%,2134,34,48%,0%
798045708,Existing Customer,42,F,5,Graduate,Married,$40K - $60K,Blue,36,2,1,1,7434,0,7434,63%,4182,76,117%,0%
711792783,Existing Customer,45,F,3,Unknown,Divorced,$40K - $60K,Blue,26,1,1,2,2032,1195,837,64%,4479,80,67%,59%
788794758,Attrited Customer,46,M,4,Graduate,Single,$40K - $60K,Blue,28,2,2,4,2979,0,2979,64%,2061,38,46%,0%
715516458,Attrited Customer,42,F,1,High School,Married,$40K - $60K,Blue,36,5,3,2,2705,2430,275,70%,2602,43,43%,90%
808903308,Attrited Customer,54,F,1,Unknown,Married,$40K - $60K,Blue,49,4,3,6,2471,0,2471,72%,2519,35,52%,0%
715644633,Existing Customer,42,F,3,Graduate,Single,$40K - $60K,Blue,34,1,2,1,1528,820,708,91%,5212,88,83%,54%
716685033,Existing Customer,38,F,1,High School,Married,$40K - $60K,Blue,19,1,1,2,5559,1600,3959,72%,5344,82,86%,29%
712968708,Existing Customer,55,F,1,High School,Single,$40K - $60K,Blue,47,2,3,1,2343,1780,563,79%,5167,78,77%,76%
716009883,Existing Customer,41,F,1,Graduate,Single,$40K - $60K,Blue,28,1,3,1,8482,585,7897,62%,4245,74,90%,7%
778899708,Attrited Customer,56,F,2,Unknown,Single,$40K - $60K,Blue,37,2,2,3,2963,0,2963,90%,2919,47,38%,0%
709927458,Existing Customer,38,M,3,Graduate,Single,$40K - $60K,Blue,20,1,3,3,10486,1544,8942,72%,4042,77,93%,15%
714222183,Existing Customer,38,F,3,Graduate,Single,$40K - $60K,Blue,36,1,1,1,2132,1084,1048,77%,4874,78,66%,51%
713782608,Existing Customer,46,F,4,Graduate,Single,$40K - $60K,Blue,36,1,3,1,2652,2386,266,77%,5329,83,73%,90%
797150733,Attrited Customer,44,M,3,Unknown,Single,$40K - $60K,Blue,38,5,2,2,1643,0,1643,60%,1754,39,56%,0%
711874833,Existing Customer,45,M,3,College,Divorced,$40K - $60K,Blue,37,1,3,2,2449,0,2449,71%,5497,88,63%,0%
712831908,Existing Customer,59,F,1,College,Married,$40K - $60K,Blue,49,2,2,1,3481,603,2878,69%,4556,81,47%,17%
715807383,Existing Customer,45,F,4,Post-Graduate,Single,$40K - $60K,Blue,36,1,3,3,4688,0,4688,59%,5248,89,75%,0%
779536233,Existing Customer,47,F,4,Graduate,Divorced,$40K - $60K,Blue,30,1,1,1,1438.3,601,837.3,100%,4669,83,73%,42%
779837808,Existing Customer,53,F,2,High School,Married,$40K - $60K,Blue,37,1,4,3,5182,2500,2682,87%,5012,85,81%,48%
709123908,Existing Customer,43,F,2,Graduate,Married,$40K - $60K,Blue,36,2,3,2,4287,0,4287,81%,4874,82,71%,0%
743800833,Existing Customer,53,F,3,College,Married,$40K - $60K,Blue,46,2,1,1,2304,1144,1160,77%,4505,85,118%,50%
716606733,Existing Customer,33,F,1,Graduate,Single,$40K - $60K,Blue,18,2,2,3,3043,2054,989,74%,4833,85,67%,68%
716060358,Existing Customer,53,F,2,Graduate,Married,$40K - $60K,Blue,45,2,2,2,4621,913,3708,92%,4952,82,75%,20%
709920258,Existing Customer,41,F,3,Graduate,Divorced,$40K - $60K,Blue,28,1,1,3,9294,1764,7530,103%,4531,73,74%,19%
712510833,Existing Customer,44,M,3,College,Married,$40K - $60K,Blue,30,2,3,3,9317,847,8470,77%,4121,81,72%,9%
710840433,Existing Customer,34,M,1,College,Unknown,$40K - $60K,Blue,20,2,1,3,7452,1656,5796,60%,3339,51,96%,22%
711375558,Existing Customer,48,F,2,Uneducated,Single,$40K - $60K,Blue,34,2,3,1,3072,1734,1338,75%,4540,78,86%,56%
716315508,Attrited Customer,37,F,3,Post-Graduate,Married,$40K - $60K,Blue,36,2,2,5,3233,2517,716,0%,1339,32,0%,78%
716851908,Existing Customer,58,F,5,Unknown,Married,$40K - $60K,Blue,47,1,3,3,2038,1099,939,81%,4784,70,75%,54%
720599658,Existing Customer,49,M,1,Unknown,Married,$40K - $60K,Blue,36,2,2,1,1438.3,0,1438.3,57%,5104,75,63%,0%
779905008,Attrited Customer,54,F,4,Graduate,Unknown,$40K - $60K,Blue,38,2,2,1,1779,0,1779,86%,2660,41,32%,0%
710981583,Existing Customer,44,F,5,Unknown,Single,$40K - $60K,Blue,36,2,1,2,3891,1015,2876,76%,5131,86,72%,26%
712704933,Attrited Customer,49,F,4,High School,Unknown,$40K - $60K,Blue,43,4,3,3,4048,0,4048,60%,2227,41,46%,0%
715904433,Attrited Customer,42,F,4,College,Married,$40K - $60K,Blue,34,1,3,2,1695,0,1695,45%,2055,46,31%,0%
788930358,Existing Customer,42,F,4,College,Single,$40K - $60K,Blue,28,2,2,2,2827,1896,931,74%,3891,81,103%,67%
771617883,Existing Customer,54,F,2,High School,Single,$40K - $60K,Blue,42,1,2,2,2205,1313,892,93%,4904,82,67%,60%
713257083,Existing Customer,46,F,4,Unknown,Married,$40K - $60K,Blue,36,1,3,1,1925,1202,723,52%,4343,66,74%,62%
717596883,Existing Customer,58,F,0,Graduate,Single,$40K - $60K,Blue,39,4,3,2,5530,1233,4297,86%,5270,78,100%,22%
709901058,Existing Customer,38,M,1,High School,Single,$40K - $60K,Blue,30,2,2,1,2232,1163,1069,56%,4185,80,78%,52%
823149483,Existing Customer,52,F,1,Post-Graduate,Single,$40K - $60K,Blue,48,1,5,3,1766,0,1766,77%,4643,76,62%,0%
779998083,Existing Customer,33,M,3,High School,Married,$40K - $60K,Blue,23,1,2,3,6392,1429,4963,68%,4069,66,74%,22%
784880958,Existing Customer,34,F,4,Graduate,Single,$40K - $60K,Blue,28,2,3,1,4022,1680,2342,58%,3776,84,83%,42%
713784558,Existing Customer,59,F,1,Graduate,Single,$40K - $60K,Blue,36,1,2,3,3510,941,2569,72%,4833,77,75%,27%
719449533,Attrited Customer,49,F,3,Uneducated,Single,$40K - $60K,Blue,38,1,2,3,2655,2283,372,75%,2386,49,49%,86%
719572833,Existing Customer,57,F,3,Graduate,Unknown,$40K - $60K,Blue,46,2,2,2,2791,1550,1241,67%,5440,83,66%,56%
778819083,Attrited Customer,41,F,2,Doctorate,Married,$40K - $60K,Blue,33,1,3,3,1604,0,1604,64%,2264,47,52%,0%
714773508,Attrited Customer,54,F,1,Graduate,Married,$40K - $60K,Blue,46,6,4,3,1632,351,1281,72%,2532,43,48%,22%
814181433,Existing Customer,46,M,5,College,Married,$40K - $60K,Blue,41,1,3,2,3914,1683,2231,64%,4242,64,73%,43%
711456108,Attrited Customer,46,F,4,Unknown,Married,$40K - $60K,Blue,39,5,3,3,1438.3,819,619.3,79%,2488,44,69%,57%
721164483,Existing Customer,46,F,2,College,Married,$40K - $60K,Blue,34,2,1,3,1441,642,799,56%,4894,84,83%,45%
710487033,Existing Customer,44,F,2,High School,Married,$40K - $60K,Blue,28,2,3,3,1438.3,0,1438.3,93%,4445,78,77%,0%
714197133,Attrited Customer,51,F,3,College,Married,$40K - $60K,Blue,36,2,3,3,4762,0,4762,53%,2811,52,30%,0%
718488783,Existing Customer,40,M,3,College,Unknown,$40K - $60K,Blue,30,2,2,2,4802,1701,3101,53%,4821,66,65%,35%
717865008,Existing Customer,51,F,1,Unknown,Married,$40K - $60K,Blue,36,2,1,1,1438.3,468,970.3,75%,4425,81,108%,33%
711833508,Existing Customer,47,M,2,High School,Single,$40K - $60K,Blue,27,2,3,2,1536,0,1536,91%,4643,89,75%,0%
709745508,Attrited Customer,58,F,2,Unknown,Divorced,$40K - $60K,Blue,47,1,4,3,2295,0,2295,38%,2140,40,43%,0%
788805858,Existing Customer,49,M,3,College,Divorced,$40K - $60K,Blue,31,2,3,1,2181,1218,963,76%,4997,89,71%,56%
789218433,Existing Customer,33,F,3,Unknown,Married,$40K - $60K,Blue,22,2,3,2,1438.3,0,1438.3,76%,4528,86,69%,0%
708753633,Existing Customer,45,F,3,Doctorate,Married,$40K - $60K,Blue,32,2,1,1,1438.3,0,1438.3,71%,4462,77,64%,0%
710780883,Existing Customer,48,F,5,Uneducated,Single,$40K - $60K,Blue,38,1,2,3,2446,1461,985,86%,4610,78,77%,60%
711333933,Existing Customer,56,F,3,Post-Graduate,Single,$40K - $60K,Blue,36,2,1,1,3005,1660,1345,88%,4586,72,76%,55%
790149483,Existing Customer,42,M,3,Uneducated,Single,$40K - $60K,Blue,35,2,3,3,8566,1484,7082,81%,4195,89,85%,17%
710044308,Existing Customer,40,F,4,Graduate,Single,$40K - $60K,Blue,27,2,2,2,2625,1594,1031,54%,2480,47,57%,61%
713101383,Existing Customer,44,F,2,Unknown,Married,$40K - $60K,Blue,36,1,1,1,1834,0,1834,62%,5402,87,61%,0%
710099358,Existing Customer,60,F,1,Unknown,Single,$40K - $60K,Blue,36,2,3,1,3959,0,3959,81%,4935,92,80%,0%
811974483,Existing Customer,56,M,2,Graduate,Single,$40K - $60K,Blue,51,1,3,1,1466,723,743,79%,5110,86,59%,49%
718147233,Existing Customer,44,F,1,High School,Married,$40K - $60K,Blue,31,2,2,3,4553,1538,3015,51%,4999,95,56%,34%
780670083,Attrited Customer,39,F,2,Unknown,Unknown,$40K - $60K,Blue,28,1,2,3,4363,0,4363,71%,2596,48,85%,0%
720260433,Existing Customer,46,F,3,High School,Married,$40K - $60K,Blue,34,2,3,2,3336,1687,1649,65%,5577,95,76%,51%
714943233,Existing Customer,49,M,2,Doctorate,Married,$40K - $60K,Blue,31,2,2,2,1915,1545,370,78%,3911,80,78%,81%
789579033,Existing Customer,43,M,3,Graduate,Unknown,$40K - $60K,Blue,36,2,3,3,4878,2098,2780,67%,5021,84,68%,43%
721374033,Existing Customer,53,F,1,High School,Married,$40K - $60K,Blue,39,2,3,3,2164,1115,1049,62%,4341,69,64%,52%
714032883,Existing Customer,45,M,2,College,Unknown,$40K - $60K,Blue,36,1,1,1,4718,1591,3127,93%,4598,80,100%,34%
712714008,Existing Customer,39,F,4,Unknown,Married,$40K - $60K,Blue,28,2,3,2,2725,2302,423,88%,4714,81,80%,85%
789151983,Existing Customer,43,F,4,Graduate,Unknown,$40K - $60K,Blue,31,2,3,3,4091,1108,2983,77%,5244,87,71%,27%
711381183,Existing Customer,51,F,2,Unknown,Married,$40K - $60K,Blue,36,2,3,2,1438.3,1141,297.3,69%,4485,85,89%,79%
814987983,Existing Customer,37,F,2,College,Single,$40K - $60K,Blue,32,2,1,3,3680,683,2997,85%,4835,77,75%,19%
710832108,Existing Customer,52,F,2,Unknown,Single,$40K - $60K,Blue,44,2,3,3,9017,2359,6658,90%,4552,81,80%,26%
719940483,Existing Customer,51,F,1,Graduate,Married,$40K - $60K,Blue,43,2,2,2,2107,1663,444,71%,4841,88,73%,79%
714080433,Existing Customer,40,F,5,College,Married,$40K - $60K,Blue,36,2,3,2,3144,1787,1357,69%,4758,67,56%,57%
757675158,Existing Customer,47,F,4,Post-Graduate,Divorced,$40K - $60K,Blue,40,2,2,3,2725,1851,874,69%,4904,85,70%,68%
709738008,Existing Customer,48,F,3,Unknown,Married,$40K - $60K,Blue,36,1,6,2,2804,1057,1747,58%,5033,81,80%,38%
714825408,Existing Customer,45,F,3,High School,Single,$40K - $60K,Blue,36,2,3,3,2853,2517,336,60%,4971,65,76%,88%
779770683,Existing Customer,47,F,3,Uneducated,Divorced,$40K - $60K,Blue,36,2,3,3,1439,0,1439,64%,5047,79,84%,0%
718510983,Existing Customer,54,F,3,Unknown,Single,$40K - $60K,Blue,41,1,3,2,4440,0,4440,64%,3720,89,89%,0%
715773783,Attrited Customer,44,F,2,Graduate,Single,$40K - $60K,Blue,35,2,3,4,4196,561,3635,74%,2558,38,65%,13%
771067308,Existing Customer,38,F,3,High School,Single,$40K - $60K,Blue,25,1,1,2,3040,1908,1132,76%,5616,73,66%,63%
716171358,Existing Customer,51,M,4,College,Married,$40K - $60K,Blue,36,2,3,1,4436,2222,2214,73%,4460,85,77%,50%
717603858,Existing Customer,54,M,3,College,Single,$40K - $60K,Blue,42,1,2,1,5608,1775,3833,52%,4325,77,75%,32%
717334233,Existing Customer,54,F,1,Uneducated,Single,$40K - $60K,Blue,43,1,3,2,9525,2517,7008,67%,4804,79,88%,26%
770581983,Existing Customer,55,F,4,Graduate,Married,$40K - $60K,Blue,41,1,1,3,1438.3,0,1438.3,86%,4885,88,63%,0%
718742808,Attrited Customer,55,F,1,High School,Married,$40K - $60K,Blue,46,2,4,3,4629,710,3919,79%,2877,49,58%,15%
719922558,Existing Customer,45,F,5,Unknown,Divorced,$40K - $60K,Blue,33,2,2,3,1438.3,0,1438.3,74%,5346,84,79%,0%
715072533,Existing Customer,41,F,3,Unknown,Unknown,$40K - $60K,Blue,36,2,6,2,4451,0,4451,73%,4456,75,97%,0%
708553008,Existing Customer,38,F,1,High School,Single,$40K - $60K,Blue,36,1,2,3,2148,1103,1045,60%,4711,64,88%,51%
778880358,Existing Customer,49,F,4,Graduate,Divorced,$40K - $60K,Blue,30,1,3,3,2485,1648,837,60%,4208,71,92%,66%
720258183,Existing Customer,39,F,4,Graduate,Single,$40K - $60K,Blue,25,2,3,3,3394,2517,877,69%,5421,75,83%,74%
720689583,Existing Customer,50,F,3,High School,Married,$40K - $60K,Blue,40,1,3,3,3367,1747,1620,77%,5657,91,52%,52%
758168133,Existing Customer,50,F,0,High School,Married,$40K - $60K,Blue,43,2,3,1,4154,1060,3094,54%,4325,86,72%,26%
715590258,Existing Customer,45,F,4,Uneducated,Single,$40K - $60K,Blue,36,1,1,3,3918,2070,1848,76%,4700,69,64%,53%
714714558,Existing Customer,37,F,2,Uneducated,Single,$40K - $60K,Blue,27,1,3,2,3050,2517,533,118%,4698,75,92%,83%
778847808,Existing Customer,42,F,4,Graduate,Married,$40K - $60K,Blue,23,1,2,3,2647,1245,1402,71%,4911,82,86%,47%
817293258,Existing Customer,44,F,4,College,Married,$40K - $60K,Blue,27,1,1,2,3183,2517,666,73%,4017,63,85%,79%
708928008,Existing Customer,34,F,2,High School,Single,$40K - $60K,Blue,36,2,3,1,1677,0,1677,70%,4035,87,89%,0%
788595183,Existing Customer,42,M,2,Graduate,Single,$40K - $60K,Blue,36,1,1,3,1438.3,686,752.3,68%,3499,80,86%,48%
719868183,Attrited Customer,42,F,3,High School,Married,$40K - $60K,Blue,30,5,3,2,1456,0,1456,69%,2843,42,50%,0%
781926633,Existing Customer,48,M,2,Uneducated,Married,$40K - $60K,Blue,42,1,3,3,3202,2517,685,60%,4675,88,69%,79%
788848458,Existing Customer,40,F,5,Unknown,Married,$40K - $60K,Blue,24,1,1,2,2803,1747,1056,95%,5089,71,103%,62%
785487783,Existing Customer,59,F,1,Graduate,Single,$40K - $60K,Blue,53,2,2,0,1980,1409,571,74%,5350,96,71%,71%
718329183,Existing Customer,57,F,3,Graduate,Divorced,$40K - $60K,Blue,47,1,3,2,4262,2517,1745,68%,3943,75,74%,59%
713120433,Existing Customer,55,F,2,High School,Married,$40K - $60K,Blue,42,2,2,3,5431,2007,3424,66%,4569,82,61%,37%
798777708,Existing Customer,54,F,4,High School,Single,$40K - $60K,Blue,48,2,4,1,3089,1177,1912,101%,5237,75,83%,38%
717011958,Existing Customer,43,F,4,Graduate,Single,$40K - $60K,Blue,23,2,1,1,1438.3,0,1438.3,73%,4494,82,71%,0%
778264008,Existing Customer,41,F,3,College,Single,$40K - $60K,Blue,32,2,1,2,3104,1954,1150,47%,4699,77,93%,63%
717742908,Existing Customer,44,M,3,Unknown,Married,$40K - $60K,Blue,36,1,1,1,12967,2517,10450,79%,4520,74,76%,19%
788290383,Existing Customer,43,M,3,Doctorate,Single,$40K - $60K,Blue,35,2,6,3,4970,1588,3382,67%,4436,83,80%,32%
779701983,Existing Customer,49,F,3,Graduate,Single,$40K - $60K,Blue,32,1,3,3,5400,1426,3974,60%,4643,80,70%,26%
714469008,Existing Customer,40,F,2,Unknown,Single,$40K - $60K,Blue,29,1,3,3,2351,1337,1014,61%,5115,84,79%,57%
779401233,Existing Customer,47,F,4,Uneducated,Single,$40K - $60K,Blue,36,1,1,0,1438.3,0,1438.3,61%,5216,78,66%,0%
721080183,Existing Customer,33,F,1,Graduate,Single,$40K - $60K,Blue,20,2,2,3,4883,0,4883,72%,4613,82,100%,0%
719759733,Attrited Customer,59,F,0,Unknown,Single,$40K - $60K,Blue,52,2,4,3,1852,0,1852,90%,2851,49,75%,0%
708224133,Existing Customer,61,M,0,Uneducated,Single,$40K - $60K,Blue,49,1,2,3,2228,1480,748,53%,4431,71,65%,66%
780633483,Existing Customer,58,F,0,Graduate,Married,$40K - $60K,Blue,47,2,2,1,2194,1302,892,81%,4962,81,84%,59%
823629333,Existing Customer,42,M,4,Uneducated,Married,$40K - $60K,Blue,38,1,4,1,2444,0,2444,79%,4220,50,117%,0%
788465583,Existing Customer,42,F,3,College,Single,$40K - $60K,Blue,35,2,3,3,6330,1573,4757,90%,3029,52,73%,25%
709935708,Existing Customer,55,F,1,Unknown,Married,$40K - $60K,Blue,43,2,1,2,3391,1696,1695,54%,4291,77,71%,50%
771935283,Existing Customer,47,F,4,Graduate,Single,$40K - $60K,Blue,36,1,2,1,2977,1927,1050,73%,5217,88,73%,65%
710937783,Existing Customer,53,F,0,Uneducated,Married,$40K - $60K,Blue,40,1,3,3,2772,2414,358,81%,5313,68,119%,87%
717874533,Attrited Customer,46,M,2,High School,Single,$40K - $60K,Blue,36,5,2,2,6362,0,6362,60%,1968,51,76%,0%
716181858,Existing Customer,42,F,2,Uneducated,Married,$40K - $60K,Blue,29,1,2,2,1622,0,1622,71%,4633,67,63%,0%
714276408,Attrited Customer,52,F,3,Uneducated,Single,$40K - $60K,Blue,36,2,3,3,1915,1445,470,37%,2264,39,56%,76%
780230208,Existing Customer,53,M,2,College,Married,$40K - $60K,Blue,40,2,3,0,2672,1604,1068,62%,4766,75,108%,60%
807379833,Attrited Customer,48,M,3,Graduate,Divorced,$40K - $60K,Blue,43,2,3,3,9104,145,8959,77%,2563,34,42%,2%
709261383,Existing Customer,56,F,3,Graduate,Married,$40K - $60K,Blue,36,2,3,2,1872,661,1211,76%,4970,81,93%,35%
715829358,Existing Customer,33,F,4,College,Married,$40K - $60K,Blue,26,1,2,3,2874,2517,357,73%,4794,88,60%,88%
713213133,Existing Customer,36,M,2,Graduate,Single,$40K - $60K,Blue,36,2,2,1,6763,1660,5103,57%,4972,76,90%,25%
788791383,Existing Customer,39,F,3,High School,Married,$40K - $60K,Blue,21,1,2,1,5027,0,5027,85%,4850,70,75%,0%
709459608,Existing Customer,47,F,2,Unknown,Unknown,$40K - $60K,Blue,36,1,3,3,1811,0,1811,61%,5390,87,78%,0%
794540883,Existing Customer,56,F,1,Post-Graduate,Married,$40K - $60K,Blue,38,1,2,1,3485,1465,2020,65%,4776,87,102%,42%
823833483,Existing Customer,41,M,3,Graduate,Single,$40K - $60K,Blue,37,3,3,2,7839,1544,6295,72%,7904,83,80%,20%
711856683,Existing Customer,51,M,3,Post-Graduate,Married,$40K - $60K,Blue,36,2,3,3,1590,1273,317,64%,7352,80,82%,80%
806432433,Existing Customer,40,F,2,High School,Single,$40K - $60K,Blue,35,2,1,2,2544,1713,831,70%,8006,88,57%,67%
714042108,Existing Customer,59,M,0,Uneducated,Single,$40K - $60K,Blue,36,3,2,2,11000,1013,9987,70%,7302,86,65%,9%
715260558,Existing Customer,44,F,4,High School,Single,$40K - $60K,Blue,36,3,2,2,2055,0,2055,98%,7674,80,63%,0%
713664258,Existing Customer,56,M,2,Unknown,Single,$40K - $60K,Blue,48,2,2,1,14344,2014,12330,73%,7359,85,57%,14%
714047733,Existing Customer,53,F,3,Graduate,Single,$40K - $60K,Blue,45,2,2,1,4942,2119,2823,72%,7460,85,60%,43%
710061783,Attrited Customer,49,M,1,Graduate,Married,$40K - $60K,Blue,40,6,1,4,14973,0,14973,90%,4517,59,44%,0%
819975183,Existing Customer,44,F,4,College,Single,$40K - $60K,Silver,39,2,1,3,17077,2179,14898,74%,7391,75,71%,13%
713911233,Existing Customer,47,F,3,Doctorate,Single,$40K - $60K,Silver,39,3,2,1,18341,1060,17281,72%,7584,85,70%,6%
719473458,Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,42,3,2,1,8285,1359,6926,63%,7205,84,83%,16%
711764733,Existing Customer,41,F,4,Uneducated,Unknown,$40K - $60K,Silver,36,3,2,3,19704,0,19704,68%,7766,81,62%,0%
780620883,Existing Customer,49,F,2,Uneducated,Single,$40K - $60K,Blue,37,2,1,3,7045,1293,5752,63%,7381,98,61%,18%
711203658,Existing Customer,46,M,3,Graduate,Unknown,$40K - $60K,Blue,34,3,6,1,2259,1346,913,81%,7745,88,52%,60%
718567758,Existing Customer,41,M,1,College,Married,$40K - $60K,Blue,32,3,4,2,10682,1334,9348,70%,7332,92,61%,13%
715170183,Existing Customer,45,M,2,Graduate,Married,$40K - $60K,Blue,36,2,1,3,3735,2113,1622,68%,7059,82,58%,57%
717109983,Existing Customer,50,F,2,High School,Married,$40K - $60K,Blue,39,3,2,2,2275,2138,137,74%,7768,83,73%,94%
712788258,Existing Customer,48,M,3,College,Married,$40K - $60K,Blue,34,2,2,1,1913,1405,508,70%,7265,80,91%,73%
715469583,Existing Customer,40,F,2,Graduate,Unknown,$40K - $60K,Blue,36,3,1,2,2136,1250,886,74%,7782,88,66%,59%
709235058,Existing Customer,46,M,4,College,Married,$40K - $60K,Silver,36,3,2,2,18956,1694,17262,70%,8032,88,66%,9%
709065483,Existing Customer,40,F,3,College,Divorced,$40K - $60K,Blue,28,2,2,3,9243,2019,7224,71%,7841,82,61%,22%
712925808,Attrited Customer,51,F,1,Unknown,Married,$40K - $60K,Blue,36,2,3,2,2710,0,2710,100%,4724,60,40%,0%
788931558,Existing Customer,46,M,2,High School,Single,$40K - $60K,Blue,32,1,2,2,2000,1739,261,82%,7694,85,70%,87%
712266633,Existing Customer,51,F,2,Unknown,Married,$40K - $60K,Blue,36,2,2,1,14800,1020,13780,90%,8796,94,59%,7%
719272458,Existing Customer,53,F,5,Graduate,Single,$40K - $60K,Blue,41,2,1,3,9815,1699,8116,62%,7962,89,56%,17%
816615633,Existing Customer,47,F,2,Doctorate,Married,$40K - $60K,Blue,42,2,3,1,3256,2035,1221,66%,7075,89,65%,63%
712453308,Existing Customer,46,M,4,High School,Divorced,$40K - $60K,Silver,36,2,2,3,15034,1356,13678,75%,7737,84,75%,9%
721008933,Existing Customer,44,F,2,Graduate,Divorced,$40K - $60K,Blue,36,1,1,2,3107,1995,1112,67%,7535,87,67%,64%
720859533,Existing Customer,52,F,2,High School,Single,$40K - $60K,Blue,39,2,1,1,12214,2379,9835,77%,8426,105,54%,20%
713872833,Existing Customer,54,F,2,Graduate,Single,$40K - $60K,Blue,41,2,1,3,10753,1845,8908,69%,7302,80,70%,17%
786097158,Existing Customer,48,M,2,High School,Married,$40K - $60K,Blue,42,2,3,2,8786,1559,7227,91%,8575,92,74%,18%
715624533,Existing Customer,41,F,3,Unknown,Unknown,$40K - $60K,Blue,30,1,2,3,5357,1272,4085,71%,7730,97,54%,24%
712955433,Existing Customer,36,F,4,Uneducated,Unknown,$40K - $60K,Blue,16,1,2,2,4370,1222,3148,65%,7223,90,55%,28%
718292283,Existing Customer,52,F,1,High School,Single,$40K - $60K,Blue,42,1,3,1,3416,1970,1446,80%,8254,75,60%,58%
720164358,Attrited Customer,53,F,4,Graduate,Single,$40K - $60K,Blue,43,1,3,2,6058,0,6058,100%,4754,60,46%,0%
709893858,Attrited Customer,43,M,3,Post-Graduate,Married,$40K - $60K,Blue,36,6,2,2,9422,2108,7314,89%,4633,58,61%,22%
711084183,Existing Customer,47,F,5,Uneducated,Unknown,$40K - $60K,Blue,42,2,2,3,5168,2265,2903,72%,8211,80,82%,44%
779315508,Attrited Customer,43,M,4,Post-Graduate,Single,$40K - $60K,Blue,25,1,2,2,9043,1974,7069,103%,4638,48,66%,22%
721063533,Existing Customer,51,M,2,Graduate,Single,$40K - $60K,Blue,41,1,3,3,3062,2058,1004,62%,7289,75,71%,67%
718189908,Existing Customer,44,F,4,Unknown,Unknown,$40K - $60K,Gold,31,2,2,3,23981,2135,21846,75%,7885,86,56%,9%
770920908,Existing Customer,39,F,0,Unknown,Single,$40K - $60K,Silver,26,1,1,1,22054,1146,20908,84%,8055,82,67%,5%
715298808,Existing Customer,40,M,2,High School,Divorced,$40K - $60K,Blue,32,1,3,2,7566,1618,5948,72%,7570,88,54%,21%
720198183,Existing Customer,42,M,5,College,Married,$40K - $60K,Blue,27,1,3,1,2437,1718,719,61%,8028,77,54%,71%
711128433,Existing Customer,55,M,3,Uneducated,Single,$40K - $60K,Blue,36,1,3,3,10949,829,10120,75%,7685,91,60%,8%
709556208,Existing Customer,40,F,3,College,Single,$40K - $60K,Silver,28,2,1,2,22361,1873,20488,70%,7586,94,57%,8%
709434408,Existing Customer,42,M,3,Unknown,Married,$40K - $60K,Blue,26,2,1,2,5848,1481,4367,71%,8417,95,46%,25%
720474408,Existing Customer,52,M,2,Graduate,Single,$40K - $60K,Blue,41,1,2,2,9298,1898,7400,66%,8427,87,78%,20%
719401158,Existing Customer,62,F,0,Post-Graduate,Single,$40K - $60K,Blue,53,1,2,3,4136,0,4136,64%,7739,97,59%,0%
716350008,Existing Customer,52,M,1,Uneducated,Married,$40K - $60K,Blue,36,2,2,3,2937,1633,1304,86%,8235,102,52%,56%
711550983,Existing Customer,46,M,1,Graduate,Divorced,$40K - $60K,Blue,37,1,2,2,11343,1175,10168,70%,8313,107,67%,10%
714077583,Attrited Customer,43,M,3,Post-Graduate,Married,$40K - $60K,Platinum,31,2,3,4,23981,593,23388,99%,4758,65,51%,3%
716574033,Existing Customer,45,F,3,High School,Divorced,$40K - $60K,Silver,36,2,2,2,18000,1829,16171,68%,7149,86,62%,10%
717471933,Existing Customer,45,M,2,Unknown,Married,$40K - $60K,Blue,27,2,2,3,5800,1434,4366,72%,8202,89,68%,25%
794571108,Attrited Customer,39,M,2,Graduate,Divorced,$40K - $60K,Silver,23,5,2,3,17894,304,17590,97%,4691,63,47%,2%
